,DOWN,DISTANCEBIN,FIELDBIN,EXPECTEDPOINTS
237,2,"(10, 15]","(85, 90]",1.7714285714285714
257,2,"(15, 20]","(85, 90]",
277,2,"(20, 30]","(85, 90]",
297,2,"(30, 40]","(85, 90]",
317,2,"(40, 50]","(85, 90]",
337,3,"(0, 2]","(85, 90]",2.768292682926829
357,3,"(2, 5]","(85, 90]",2.2688172043010755
377,3,"(5, 10]","(85, 90]",0.654320987654321
397,3,"(10, 15]","(85, 90]",-0.5238095238095238
417,3,"(15, 20]","(85, 90]",
437,3,"(20, 30]","(85, 90]",
457,3,"(30, 40]","(85, 90]",
477,3,"(40, 50]","(85, 90]",
497,4,"(0, 2]","(85, 90]",0.15789473684210525
517,4,"(2, 5]","(85, 90]",-2.2
537,4,"(5, 10]","(85, 90]",-2.546666666666667
557,4,"(10, 15]","(85, 90]",-3.129032258064516
577,4,"(15, 20]","(85, 90]",
597,4,"(20, 30]","(85, 90]",
617,4,"(30, 40]","(85, 90]",
637,4,"(40, 50]","(85, 90]",
18,1,"(0, 2]","(90, 95]",7.0
38,1,"(2, 5]","(90, 95]",5.27972027972028
58,1,"(5, 10]","(90, 95]",4.670588235294118
78,1,"(10, 15]","(90, 95]",
98,1,"(15, 20]","(90, 95]",
118,1,"(20, 30]","(90, 95]",
138,1,"(30, 40]","(90, 95]",
158,1,"(40, 50]","(90, 95]",
178,2,"(0, 2]","(90, 95]",5.392857142857143
198,2,"(2, 5]","(90, 95]",4.548387096774194
218,2,"(5, 10]","(90, 95]",3.3011049723756907
238,2,"(10, 15]","(90, 95]",
258,2,"(15, 20]","(90, 95]",
278,2,"(20, 30]","(90, 95]",
298,2,"(30, 40]","(90, 95]",
318,2,"(40, 50]","(90, 95]",
338,3,"(0, 2]","(90, 95]",4.397260273972603
358,3,"(2, 5]","(90, 95]",0.7862595419847328
378,3,"(5, 10]","(90, 95]",0.8223350253807107
398,3,"(10, 15]","(90, 95]",
418,3,"(15, 20]","(90, 95]",
438,3,"(20, 30]","(90, 95]",
458,3,"(30, 40]","(90, 95]",
478,3,"(40, 50]","(90, 95]",
498,4,"(0, 2]","(90, 95]",0.6470588235294118
518,4,"(2, 5]","(90, 95]",-2.460674157303371
538,4,"(5, 10]","(90, 95]",-2.8
558,4,"(10, 15]","(90, 95]",
578,4,"(15, 20]","(90, 95]",
598,4,"(20, 30]","(90, 95]",
618,4,"(30, 40]","(90, 95]",
638,4,"(40, 50]","(90, 95]",
19,1,"(0, 2]","(95, 100]",6.322485207100592
39,1,"(2, 5]","(95, 100]",5.77491961414791
59,1,"(5, 10]","(95, 100]",6.8
79,1,"(10, 15]","(95, 100]",
99,1,"(15, 20]","(95, 100]",
119,1,"(20, 30]","(95, 100]",
139,1,"(30, 40]","(95, 100]",
159,1,"(40, 50]","(95, 100]",
179,2,"(0, 2]","(95, 100]",5.833922261484099
199,2,"(2, 5]","(95, 100]",4.8
219,2,"(5, 10]","(95, 100]",
239,2,"(10, 15]","(95, 100]",
259,2,"(15, 20]","(95, 100]",
279,2,"(20, 30]","(95, 100]",
299,2,"(30, 40]","(95, 100]",
319,2,"(40, 50]","(95, 100]",
339,3,"(0, 2]","(95, 100]",5.278947368421052
359,3,"(2, 5]","(95, 100]",2.779816513761468
379,3,"(5, 10]","(95, 100]",
399,3,"(10, 15]","(95, 100]",
419,3,"(15, 20]","(95, 100]",
439,3,"(20, 30]","(95, 100]",
459,3,"(30, 40]","(95, 100]",
479,3,"(40, 50]","(95, 100]",
499,4,"(0, 2]","(95, 100]",2.9178082191780823
519,4,"(2, 5]","(95, 100]",-1.736842105263158
539,4,"(5, 10]","(95, 100]",
559,4,"(10, 15]","(95, 100]",
579,4,"(15, 20]","(95, 100]",
599,4,"(20, 30]","(95, 100]",
619,4,"(30, 40]","(95, 100]",
639,4,"(40, 50]","(95, 100]",
