,DOWN,DISTANCEBIN,FIELDBIN,EXPECTEDPOINTS
323,3,"(0, 2]","(15, 20]",0.6666666666666666
343,3,"(2, 5]","(15, 20]",0.7704918032786885
363,3,"(5, 10]","(15, 20]",-0.8429752066115702
383,3,"(10, 15]","(15, 20]",-1.8602150537634408
403,3,"(15, 20]","(15, 20]",-2.6041666666666665
423,3,"(20, 30]","(15, 20]",-4.0
443,3,"(30, 40]","(15, 20]",
463,3,"(40, 50]","(15, 20]",
483,4,"(0, 2]","(15, 20]",-2.0
503,4,"(2, 5]","(15, 20]",-0.8333333333333334
523,4,"(5, 10]","(15, 20]",-2.3384615384615386
543,4,"(10, 15]","(15, 20]",-2.9272727272727272
563,4,"(15, 20]","(15, 20]",-3.811320754716981
583,4,"(20, 30]","(15, 20]",-1.0
603,4,"(30, 40]","(15, 20]",
623,4,"(40, 50]","(15, 20]",
4,1,"(0, 2]","(20, 25]",
24,1,"(2, 5]","(20, 25]",3.5
44,1,"(5, 10]","(20, 25]",0.32624584717607974
64,1,"(10, 15]","(20, 25]",-0.6521739130434783
84,1,"(15, 20]","(20, 25]",3.1818181818181817
104,1,"(20, 30]","(20, 25]",-0.6666666666666666
124,1,"(30, 40]","(20, 25]",
144,1,"(40, 50]","(20, 25]",
164,2,"(0, 2]","(20, 25]",3.1818181818181817
184,2,"(2, 5]","(20, 25]",0.84
204,2,"(5, 10]","(20, 25]",0.05390835579514825
224,2,"(10, 15]","(20, 25]",-0.323943661971831
244,2,"(15, 20]","(20, 25]",1.6666666666666667
264,2,"(20, 30]","(20, 25]",-1.7692307692307692
284,2,"(30, 40]","(20, 25]",
304,2,"(40, 50]","(20, 25]",
324,3,"(0, 2]","(20, 25]",0.05454545454545454
344,3,"(2, 5]","(20, 25]",-0.11688311688311688
364,3,"(5, 10]","(20, 25]",-1.1557093425605536
384,3,"(10, 15]","(20, 25]",-1.935
404,3,"(15, 20]","(20, 25]",-2.111111111111111
424,3,"(20, 30]","(20, 25]",-3.0
444,3,"(30, 40]","(20, 25]",-2.0
464,3,"(40, 50]","(20, 25]",
484,4,"(0, 2]","(20, 25]",-1.5
504,4,"(2, 5]","(20, 25]",-0.7368421052631579
524,4,"(5, 10]","(20, 25]",-2.0852713178294575
544,4,"(10, 15]","(20, 25]",-2.6936936936936937
564,4,"(15, 20]","(20, 25]",-3.0
584,4,"(20, 30]","(20, 25]",-5.0
604,4,"(30, 40]","(20, 25]",-7.0
624,4,"(40, 50]","(20, 25]",
5,1,"(0, 2]","(25, 30]",7.0
25,1,"(2, 5]","(25, 30]",-1.0
45,1,"(5, 10]","(25, 30]",1.7184959349593496
65,1,"(10, 15]","(25, 30]",2.5714285714285716
85,1,"(15, 20]","(25, 30]",2.3846153846153846
105,1,"(20, 30]","(25, 30]",-3.0
125,1,"(30, 40]","(25, 30]",
145,1,"(40, 50]","(25, 30]",
165,2,"(0, 2]","(25, 30]",1.7796610169491525
185,2,"(2, 5]","(25, 30]",0.10256410256410256
205,2,"(5, 10]","(25, 30]",-0.025365853658536587
225,2,"(10, 15]","(25, 30]",1.2439024390243902
245,2,"(15, 20]","(25, 30]",0.5789473684210527
265,2,"(20, 30]","(25, 30]",-1.7142857142857142
285,2,"(30, 40]","(25, 30]",3.0
305,2,"(40, 50]","(25, 30]",
325,3,"(0, 2]","(25, 30]",0.7634408602150538
345,3,"(2, 5]","(25, 30]",0.21359223300970873
365,3,"(5, 10]","(25, 30]",-1.394736842105263
385,3,"(10, 15]","(25, 30]",0.9215686274509803
405,3,"(15, 20]","(25, 30]",-1.6842105263157894
425,3,"(20, 30]","(25, 30]",-1.9090909090909092
445,3,"(30, 40]","(25, 30]",
465,3,"(40, 50]","(25, 30]",
485,4,"(0, 2]","(25, 30]",-1.825
505,4,"(2, 5]","(25, 30]",-1.4230769230769231
525,4,"(5, 10]","(25, 30]",-2.330612244897959
545,4,"(10, 15]","(25, 30]",-0.8536585365853658
565,4,"(15, 20]","(25, 30]",-0.6774193548387096
585,4,"(20, 30]","(25, 30]",-1.7692307692307692
605,4,"(30, 40]","(25, 30]",
625,4,"(40, 50]","(25, 30]",
6,1,"(0, 2]","(30, 35]",
26,1,"(2, 5]","(30, 35]",-4.2
46,1,"(5, 10]","(30, 35]",1.6755186721991702
66,1,"(10, 15]","(30, 35]",2.7777777777777777
